Nintendo,Electronic Arts,Activision,Sony,Ubisoft
0,0,12.08,0,0
0,0,34,0,0
0,0,7.44,0,0
43.84,0,7.76,0,0
182.24,0,1.08,0,0
199.8,0,1.92,0,0
64.72,0,0,0,0
47.8,0,4.48,0,0
145.76,0,3,0,0
255.52,0,1.88,0,0
141.96,0,0,0,0
63.88,0,0,0,0
152.44,0.24,0,0,0
80.16,0,0,0,0
99.96,2.6,8.32,13.72,0
66.88,13.32,16.84,73.8,12.12
294.8,31.6,7.8,140.28,0.64
103.2,91.76,10.2,175.6,1
193.64,119.8,30.16,138.56,1.2
261.32,80.6,30.28,144.96,18.44
136.2,100.52,57.92,86.76,19
181.48,180.48,74.36,173.16,19.96
193.24,292.04,103.76,103.4,64.84
152.56,279.32,85.52,97.28,67.56
242.6,269.32,156.92,140.64,61.6
509.88,268.04,141.56,105.52,65.96
822.44,233.64,69.6,135.24,69.08
416.72,285.32,254.28,150.16,194.4
364.88,336.48,269.64,106.56,229.76
515.56,344.8,312.24,146.12,188.04
244.28,325.52,253.56,139.56,170.48
206.12,289,206.96,109.6,192.12
225.88,199.6,213,51.4,149.24
211.16,211.68,173.96,50.44,109.56
194.6,187.2,177.92,76.08,167.8
108.32,181.68,142.52,44.04,51.16
13.88,49,14.68,26.24,39.04
